house size(ft),price($)
"1,196","350,000"
"4,696","756,000"
"1,988","445,000"
"5,414","1,072,000"
"5,303","950,000"
"1,142","280,000"
"4,792","859,000"
"2,391","399,000"
"1,440","399,000"
"2,201","630,000"
"4,626","835,000"
"1,944","429,999"
"6,240","1,495,000"
"3,600","765,000"
"4,982","900,000"
"3,794","789,000"
"3,033","699,900"
"4,853","1,325,000"
"4,515","925,000"
"3,448","788,500"
"3,238","802,990"
"2,786","704,990"
"2,520","700,950"
"2,813","750,990"
"3,552","765,000"
"2,656","500,000"
"1,088","314,995"
"1,475","494,950"
"1,013","299,000"
